,,1,2,3,4,5,,,,,,,
1to2.1,4.076,4.85,5.87,2.26,5.41,1.99,,,,,,,
1to2.2,4.044,4.79,5.82,2.26,5.36,1.99,,,,,,,
1to3.1,5.576,4.85,3.79,7.40,4.26,7.58,,,,,,,
1to3.3,5.546,4.83,3.79,7.35,4.24,7.52,,,,,,,
2to1.2,9.188,9.12,9.22,9.17,9.23,9.20,,,,,,,
2to1.1,9.050,9.02,9.07,9.03,9.09,9.04,,,,,,,
3to1.3,9.258,9.29,9.29,9.25,9.23,9.23,,,,,,,
3to1.1,9.120,9.15,9.10,9.14,9.09,9.12,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
